Date,Unrate,interbank_rates,cpi,mortgage_interest_rate,HouseIndex_victoria,HouseIndex_vancouver,HouseIndex_montreal,personal_savings_rate
09-07,5.9,5.119473684,88.3966104,6.61,136.41,141.98,116.39,3.5
10-07,5.8,4.915,88.3966104,6.69,138.3,143.16,116.81,3.3
11-07,6,4.767619048,88.63681858,6.73,138.37,144.04,117.36,3.1
12-07,6,4.796315789,88.87702676,6.75,138.81,143.99,116.8,3.5
01-08,5.9,4.246363636,88.71688797,6.81,138.67,144.28,117.57,3.7
02-08,5.9,3.82,89.11723494,6.72,139.7,144.67,117.59,4.1
03-08,6.1,3.583,89.27737372,6.6,140.39,146.96,118.1,4
04-08,6,3.457,89.83785948,6.4,142.01,148.78,118.79,3.4
05-08,6,3.1505,90.7986922,6.21,142.99,150.22,120.44,7.8
06-08,6,3.177647059,91.11896977,6.2,143.93,150.49,121.54,5.5
07-08,6.1,3.267,91.19903917,6.37,143.46,150.59,122.14,4.4
08-08,6.1,3.23,90.71862281,6.25,143.49,150.1,122.3,3.8
09-08,6.1,3.716666667,91.11896977,6.16,142.46,149.56,122.84,4.7
10-08,6.2,3.318636364,90.39834523,6.46,141.87,147.66,122.73,5.5
11-08,6.6,2.776315789,89.99799827,6.51,140.1,145.73,122.64,6.5
12-08,6.9,2.344285714,89.5175819,6.17,138.19,141.6,121.57,6.4
01-09,7.4,1.589047619,89.43751251,5.78,134.46,137.7,122.02,6.2
02-09,8,1.231052632,89.99799827,5.28,132.48,134.95,120.5,5.5
03-09,8.1,1.062727273,90.23820645,5.14,131.89,133.22,120.96,5.9
04-09,8.3,0.898095238,90.39834523,4.79,129.88,132.92,120.85,6.8
05-09,8.6,0.6365,91.19903917,4.62,131.15,132.73,122.94,8.2
06-09,8.7,0.56,91.51931674,4.9,132.27,134.43,124.75,6.7
07-09,8.7,0.383636364,91.11896977,5.14,134.01,136.59,125.54,6
08-09,8.7,0.4205,91.27910856,5.13,136.5,138.98,126.48,4.9
09-09,8.4,0.398095238,91.11896977,4.97,138.33,141.87,126.17,5.9
10-09,8.4,0.386666667,91.03890038,5,139.69,144.38,126.78,5.4
11-09,8.5,0.3805,91.59938613,5.06,140.92,147.1,127.02,5.9
12-09,8.5,0.379047619,91.27910856,4.83,143.08,148.93,127.74,5.9
01-10,8.3,0.38,91.27910856,4.8,143.49,150.5,128.44,6.1
02-10,8.2,0.375789474,91.43924735,4.73,144.41,151.16,129.03,5.8
03-10,8.2,0.385652174,91.67945553,4.71,143.05,152.14,130.02,5.7
04-10,8.1,0.487619048,91.91966371,5.15,144.26,153.59,131.33,6.4
05-10,8,0.6035,91.9997331,5.3,144.01,155.28,133.19,7
06-10,7.9,0.724090909,91.91966371,5.18,146.93,156.52,134.72,6.9
07-10,8.1,0.832857143,91.67945553,5.02,145.32,155.88,135.73,6.8
08-10,8.1,0.902857143,91.67945553,4.82,145.41,155.33,136.81,6.9
09-10,8.1,1.114285714,91.91966371,4.6,143.63,154.66,137,6.7
10-10,7.8,1.157,92.32001068,4.52,142.23,154.7,136.47,6.6
11-10,7.6,1.167142857,92.56021886,4.45,141.13,155.71,134.71,6.6
12-10,7.6,1.17952381,92.72035764,4.5,139.07,156.45,135.35,7.1
01-11,7.7,1.18,93.12070461,4.55,140.19,157.75,136.43,7.4
02-11,7.7,1.188421053,93.2808434,4.68,140.8,158.48,138.21,7.6
03-11,7.7,1.183913043,94.56195369,4.7,141.02,159.89,138.92,7
04-11,7.6,1.184,94.72209248,4.87,141.98,162.57,140.25,6.9
05-11,7.5,1.187142857,94.96230066,4.83,143.08,165.24,141.68,6.9
06-11,7.5,1.169545455,94.40181491,4.6,143.25,168.16,143.3,7.2
07-11,7.3,1.17,94.4818843,4.57,143.72,169.7,144.04,7.2
08-11,7.3,1.151818182,94.64202309,4.52,143.72,170.77,144.46,7.2
09-11,7.4,1.15,94.80216187,4.42,144.04,170.71,143.99,6.8
10-11,7.4,1.1515,95.12243945,4.35,141.92,170.15,143.86,6.8
11-11,7.5,1.15952381,95.28257823,4.38,140.64,169.81,144.43,6.9
12-11,7.4,1.156,94.80216187,4.36,139.51,169.29,143.69,7.8
01-12,7.6,1.158571429,95.60285581,4.31,140,168.84,144.06,8
02-12,7.5,1.16,96.08327217,4.23,138.47,168.3,144.32,8
03-12,7.3,1.152272727,96.40354974,4.21,139.94,169.48,146.02,8.5
04-12,7.3,1.147,96.80389671,4.36,139.4,170.57,147.18,8.7
05-12,7.4,1.179545455,96.64375792,4.35,139.45,172.46,148.06,8.8
06-12,7.2,1.160952381,96.24341096,4.25,140.4,173.33,149.66,9.1
07-12,7.3,1.16,96.24341096,4.23,143.15,172.44,150.19,8.2
08-12,7.2,1.16,96.48361914,4.23,142.11,170.31,150.39,7.9
09-12,7.3,1.16,96.48361914,4.2,140.28,168.28,149.49,8.2
10-12,7.4,1.16,96.80389671,4.17,139.49,168.46,149.07,8.8
11-12,7.2,1.16,96.72382732,4.15,138.2,167.51,148.45,9.7
12-12,7.2,1.16,96.16334156,4.15,139.51,165.89,148.06,12
01-13,7.1,1.16,96.16334156,4.14,141.51,164.55,147.8,6.3
02-13,7.1,1.16,97.44445186,4.11,139.48,165.72,147.24,5.8
03-13,7.3,1.16,97.20424368,4.02,135.04,166.98,148.27,5.9
04-13,7.1,1.16,97.20424368,4.02,134.84,165.63,149.04,6.4
05-13,7,1.16,97.36438246,4.02,133.76,166.87,150.9,6.7
06-13,7.1,1.162,97.20424368,4,133.96,168.42,151.8,6.8
07-13,7.2,1.167272727,97.28431307,4.08,137.41,168.92,151.83,6.6
08-13,7.1,1.17,97.28431307,4.14,138.49,170.18,151.44,6.7
09-13,7,1.168,97.28431307,4.33,139.51,171.11,150.69,6.8
10-13,7,1.166818182,97.20424368,4.4,138.73,173,150.48,6.2
11-13,7,1.17,97.36438246,4.39,136.22,174.04,149.65,6.1
12-13,7.2,1.169,97.04410489,4.39,133.92,175.03,148.71,6.4
01-14,7,1.17,97.28431307,4.38,133.48,176.94,151.32,7.1
02-14,7,1.17,97.92486822,4.32,134.7,178.47,152.41,7.1
03-14,7,1.17,98.1650764,4.16,135.27,179.62,152.79,7.2
04-14,7,1.17,98.64549276,4.02,133.88,180.52,153.4,7.2
05-14,7,1.177619048,98.88570094,4.02,133.79,180.47,153.93,7.4
06-14,7,1.174285714,98.96577033,4,136.17,178.75,155.28,7.5
07-14,7.1,1.17,98.88570094,4.01,140.9,179.16,155.75,7.5
08-14,7,1.17,99.04583973,4.01,141.38,180.63,155.11,7.3
09-14,6.9,1.17,99.12590912,4.02,138.84,182.2,154.14,7.5
10-14,6.7,1.17,99.3661173,4,138.62,184.31,154.15,7.3
11-14,6.7,1.175263158,99.12590912,4,138.19,184.36,153.92,7.4
12-14,6.7,1.188571429,98.40528458,3.98,138.17,183.71,154.08,7.7
01-15,6.6,1.122857143,98.40528458,3.96,139.41,185.94,154.15,8.1
02-15,6.8,0.886315789,99.3661173,3.91,140.04,188.66,154.07,8.2
03-15,6.8,0.893636364,99.92660306,3.84,139.7,189.14,154.63,7.7
04-15,6.8,0.896190476,100.0066724,3.76,139.47,189.2,154.54,7.6
05-15,6.8,0.89,100.4070194,3.74,140.19,191.58,155.97,7.5
06-15,6.9,0.89,100.32695,3.72,143.87,193.9,156.75,7.4
07-15,6.8,0.740454545,100.32695,3.71,146.36,196.94,157.6,7.3
08-15,7,0.61,100.32695,3.71,145.89,198.08,156.99,7.3
09-15,7.1,0.651904762,100.32695,3.71,147.08,201.2,156.52,7.4
10-15,7,0.714761905,100.5671582,3.72,147.55,202.42,156.13,7.5
11-15,7.1,0.7585,100.1668112,3.72,150.15,205.15,156.93,7.2
12-15,7.1,0.817142857,99.84653366,3.75,150.17,207.4,156.57,7.3
01-16,7.2,0.7965,99.92660306,3.76,151.25,209.17,155.68,7.6
02-16,7.3,0.799,100.4070194,3.75,152.62,215.95,154.94,7.2
03-16,7.1,0.8,100.727297,3.73,151.51,221.89,155.97,7.5
04-16,7.1,0.836190476,101.0475746,3.7,152.29,226.68,157.41,7.1
05-16,6.9,0.836666667,101.3678521,3.67,155.28,233.17,158.32,6.9
06-16,6.8,0.827727273,101.0475746,3.66,161.79,239.22,158.99,6.5
07-16,7,0.8105,100.8073664,3.67,167.88,244.81,159.91,6.7
08-16,6.9,0.82,100.727297,3.68,171.49,249.09,160.47,6.6
09-16,6.9,0.810952381,101.2077134,3.67,173.44,249.53,160.15,6.6
10-16,6.9,0.816,101.127644,3.68,174,248.01,159.3,6.8
11-16,6.9,0.82,100.8073664,3.7,174.64,244.71,158.84,6.7
12-16,6.9,0.823,100.4870888,3.74,176.78,242.64,158.63,6.4
01-17,6.7,0.872380952,101.0475746,3.73,177.11,243.39,159.29,6.7
02-17,6.6,0.876842105,101.4479215,3.75,176.95,246.86,159.49,7
03-17,6.7,0.845652174,101.6881297,3.66,178.78,248.97,160.3,7
04-17,6.5,0.843157895,102.0084073,3.62,181.48,248.68,161.21,7.1
05-17,6.6,0.797727273,102.1685461,3.59,185.94,252.3,162.16,7.6
06-17,6.4,0.828636364,101.8482685,3.6,189.98,258.52,163.37,7.4
07-17,6.3,1.123,101.9283379,3.72,195.3,265.77,164.8,7.5
08-17,6.1,1.198636364,102.0084073,3.82,198.88,272.18,165.54,7.6
09-17,6.2,1.321,102.1685461,3.89,198.97,275.85,166.21,7.3
10-17,6.2,1.329047619,102.2486155,3.98,199.12,277.75,166.3,7.4
11-17,6,1.328095238,102.568893,4.04,199.1,277.85,167.12,7
12-17,5.8,1.372105263,102.4087543,4.07,197.06,281.4,167.77,6.6
01-18,5.8,1.552727273,102.6489624,4.14,198.96,284.64,167.94,7.5
02-18,5.8,1.547894737,103.2094482,4.26,199.04,285.83,167.44,7.8
03-18,5.8,1.596190476,103.369587,4.27,201.07,287.39,167.15,7.8
04-18,5.9,1.639047619,103.6097952,4.27,201.44,288.19,167.54,7.7
05-18,5.9,1.65,103.7699339,4.35,205.05,291.2,168.06,7.7
06-18,6,1.65,103.6898645,4.32,207.73,292.84,169.24,7.9
07-18,5.8,1.796190476,104.1702809,4.42,208.53,294.03,171.41,7.9
08-18,6,1.842727273,104.0902115,4.43,208.77,292.98,173.43,7.8
09-18,5.9,1.874736842,104.0101421,4.43,209.84,293.02,174.27,7.9
10-18,5.8,2.013181818,104.0902115,4.48,209.57,290.6,174.65,7.6
11-18,5.6,2.131904762,103.6898645,4.38,209.57,288.76,174.45,7.4
12-18,5.7,2.192631579,103.8500033,4.59,208.79,285.36,175.1,9.1
01-19,5.8,2.15,103.9300727,4.59,208.77,284.58,175.43,8.5
02-19,5.8,1.99,104.8108361,4.52,204.68,282.65,176.07,8.6
03-19,5.7,1.86,105.3713218,4.44,202.44,281.35,176.28,8
04-19,5.7,1.86,105.61153,4.33,202.77,280.09,176.01,7.5
05-19,5.4,1.87,106.3321545,4.3,204.17,279.4,176.89,7.3
06-19,5.6,1.84,106.011877,4.23,208.39,278.61,178.34,7.1
07-19,5.7,1.84,106.6524321,4.14,209.73,275.7,181.36,7
08-19,5.7,1.84,106.6524321,4.08,210.22,273.56,183.4,7.3
09-19,5.5,1.83,106.6524321,4.07,209.66,272.21,185.21,7.3
10-19,5.6,1.84,106.8926403,4.09,211.07,272.67,185.07,7.2
11-19,5.9,1.85,106.7325015,4.09,211.11,273.78,185.56,7.5
12-19,5.6,1.91,106.7325015,4.08,211.15,273.81,186.25,7.2
01-20,5.5,1.91,106.7325015,4.08,209.36,274.33,187.17,7.6
02-20,5.6,1.8,107.2129179,4.08,209.7,276.58,189.27,8.3
03-20,7.8,1.27,106.8926403,3.9,209.74,279.41,189.58,12.9
04-20,13,0.48,106.4122239,3.95,212.18,281.11,192.74,33.6
05-20,13.7,0.34,106.3321545,3.86,211.14,281.23,194.04,24.5
06-20,12.3,0.31,106.9727097,3.77,212.86,281.75,196.67,18.7
07-20,10.9,0.28,106.9727097,3.64,212.31,281.67,198.25,18.1
